visualization_filename, serialization
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_10.svg', "->( +( X( tau, 'enter senddate acknowledgement' ), 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'no permit needed or only notification needed' ), ->( X( tau, 'applicant is stakeholder' ), +( X( tau, 'create procedure confirmation' ), ->( +( X( tau, 'forward to the competent authority' ), ->( X( tau, 'inform BAG administrator' ), +( X( tau, 'terminate on request' ), ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( X( tau, 'enter date termination request received' ), ->( X( tau, 'regular procedure without MER' ), X( tau, ->( X( tau, 'create message terminate request' ), +( X( tau, 'register deadline' ), ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( X( tau, 'enter senddate confirmation request' ), 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), +( X( tau, 'close case' ), ->( *( ->( X( tau, 'message terminate request' ), X( 'enter senddate request termination', ->( X( tau, 'phase procedure prematurely terminated' ), X( tau, +( 'phase procedure aborted', X( tau, 'stop all running subcases 2b' ) ) ), X( tau, +( X( tau, 'phase case handled' ), X( tau, 'phase archived case' ) ) ) ) ) ), tau ), X( tau, 'read publication date field' ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', X( tau, 'treat subcases completeness' ) ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_20.svg', "->( +( X( tau, 'enter senddate acknowledgement' ), 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'no permit needed or only notification needed' ), ->( X( tau, 'applicant is stakeholder' ), +( X( tau, 'create procedure confirmation' ), ->( +( X( tau, 'forward to the competent authority' ), ->( X( tau, 'inform BAG administrator' ), +( X( tau, 'terminate on request' ), ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( X( tau, 'enter date termination request received' ), ->( X( tau, 'regular procedure without MER' ), X( tau, ->( X( tau, 'create message terminate request' ), +( 'register deadline', ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( X( tau, 'enter senddate confirmation request' ), 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), +( 'close case', ->( *( ->( X( tau, 'message terminate request' ), X( 'enter senddate request termination', ->( X( tau, 'phase procedure prematurely terminated' ), X( tau, +( 'phase procedure aborted', X( tau, 'stop all running subcases 2b' ) ) ), X( tau, +( X( tau, 'phase case handled' ), X( tau, 'phase archived case' ) ) ) ) ) ), tau ), X( tau, 'read publication date field' ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', X( tau, 'treat subcases completeness' ) ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_30.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( *( ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'create procedure confirmation' ), ->( +( X( tau, 'no permit needed or only notification needed' ), ->( X( tau, 'applicant is stakeholder' ), +( X( tau, 'forward to the competent authority' ), ->( X( tau, 'inform BAG administrator' ), +( 'terminate on request', ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( X( tau, 'enter date termination request received' ), ->( X( tau, 'regular procedure without MER' ), X( tau, ->( X( tau, 'create message terminate request' ), +( 'register deadline', ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( X( tau, 'enter senddate confirmation request' ), 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), *( ->( X( tau, 'message terminate request' ), X( 'enter senddate request termination', ->( X( tau, 'phase procedure prematurely terminated' ), X( tau, +( 'phase procedure aborted', X( tau, 'stop all running subcases 2b' ) ) ), X( tau, +( X( tau, 'phase case handled' ), X( tau, 'phase archived case' ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'read publication date field' ), 'close case' ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, ->( 'publish', X( tau, 'read field phased application' ) ), ->( 'create subcases completeness', X( tau, 'treat subcases completeness' ) ) ) ) ), X( tau, 'start WABOprocedure' ) ), tau ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_40.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( 'OLO messaging active', +( X( tau, 'phase procedure aborted' ), ->( +( X( tau, 'registration date publication' ), ->( +( X( tau, 'enter date termination request received' ), ->( +( X( tau, 'procedure change' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( X( tau, 'applicant is stakeholder' ), X( tau, 'calculate provisional charges' ), +( 'terminate on request', X( tau, ->( 'initiative competent authority', 'create message terminate request' ) ) ), X( tau, ->( 'forward to the competent authority', 'regular procedure without MER', 'create procedure confirmation' ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', X( tau, 'treat subcases completeness' ) ) ) ) ), X( tau, 'create publication document' ) ) ), X( tau, *( ->( X( 'message terminate request', 'enter senddate request termination', ->( 'phase procedure prematurely terminated', X( tau, 'stop all running subcases 2b' ) ) ), X( tau, +( X( tau, 'phase case handled' ), X( tau, 'phase archived case' ) ) ) ), tau ) ) ) ), X( tau, 'request complete' ) ) ), X( tau, 'register deadline' ), X( tau, ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), X( tau, 'start WABOprocedure' ) ) ), X( tau, 'close case' ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_50.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( 'applicant is stakeholder', +( X( tau, 'create procedure confirmation' ), ->( +( 'forward to the competent authority', ->( X( tau, 'inform BAG administrator' ), +( 'terminate on request', ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( 'enter date termination request received', ->( 'regular procedure without MER', 'create message terminate request', +( 'register deadline', ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( 'enter senddate confirmation request', 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), +( 'message terminate request', X( tau, 'enter senddate request termination' ) ), +( 'phase case handled', 'phase archived case' ), X( tau, 'phase procedure prematurely terminated' ), X( tau, 'read publication date field' ), +( 'phase procedure aborted', 'close case' ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', 'treat subcases completeness' ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_60.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( +( 'start WABOprocedure', ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( 'applicant is stakeholder', +( 'create procedure confirmation', ->( +( 'forward to the competent authority', ->( X( tau, 'inform BAG administrator' ), +( 'terminate on request', ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( 'enter date termination request received', ->( 'regular procedure without MER', 'create message terminate request', +( 'register deadline', ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( 'enter senddate confirmation request', 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ), +( 'message terminate request', X( tau, 'enter senddate request termination' ) ), +( 'phase case handled', 'phase archived case' ), 'phase procedure prematurely terminated', X( tau, 'read publication date field' ), +( 'phase procedure aborted', 'close case' ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', 'treat subcases completeness' ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_70.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( 'registration date publication', ->( +( X( tau, 'procedure change' ), ->( +( 'start WABOprocedure', ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( 'applicant is stakeholder', +( 'create procedure confirmation', ->( +( 'forward to the competent authority', ->( X( tau, 'inform BAG administrator' ), +( 'terminate on request', ->( 'calculate provisional charges', 'initiative competent authority', +( 'enter date termination request received', ->( 'regular procedure without MER', 'create message terminate request', +( 'register deadline', ->( +( 'enter senddate procedure confirmation', ->( 'enter senddate confirmation request', 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ), +( 'message terminate request', 'enter senddate request termination' ), +( 'phase case handled', 'phase archived case' ), 'phase procedure prematurely terminated', X( tau, 'read publication date field' ), +( 'phase procedure aborted', 'close case' ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( 'read field phased application', ->( 'create subcases completeness', 'treat subcases completeness' ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_80.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( 'registration date publication', ->( +( 'procedure change', ->( +( 'start WABOprocedure', ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( 'applicant is stakeholder', +( 'create procedure confirmation', ->( +( 'forward to the competent authority', ->( X( tau, 'inform BAG administrator' ), +( 'terminate on request', ->( 'calculate provisional charges', 'initiative competent authority', +( 'enter date termination request received', ->( 'regular procedure without MER', 'create message terminate request', +( 'register deadline', ->( +( 'enter senddate procedure confirmation', ->( 'enter senddate confirmation request', 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ), +( 'message terminate request', 'enter senddate request termination' ), +( 'phase case handled', 'phase archived case' ), 'phase procedure prematurely terminated', 'read publication date field', +( 'phase procedure aborted', 'close case' ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), 'publish' ) ), X( 'read field phased application', ->( 'create subcases completeness', 'treat subcases completeness' ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
('BPIC15_5/process_tree_case_size_betwee_17_and_19_noise_90.svg', "->( +( 'enter senddate acknowledgement', 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( 'registration date publication', ->( +( 'procedure change', ->( +( 'start WABOprocedure', ->( +( *( 'send confirmation receipt', tau ), ->( +( 'no permit needed or only notification needed', ->( 'applicant is stakeholder', +( 'create procedure confirmation', ->( +( 'forward to the competent authority', ->( 'inform BAG administrator', +( 'terminate on request', ->( 'calculate provisional charges', 'initiative competent authority', +( 'enter date termination request received', ->( 'regular procedure without MER', 'create message terminate request', +( 'register deadline', ->( +( 'enter senddate procedure confirmation', ->( 'enter senddate confirmation request', 'send procedure confirmation' ) ), X( ->( 'retrieve missing data', 'enter senddate retrieve missing data' ), ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ), +( 'message terminate request', 'enter senddate request termination' ), +( 'phase case handled', 'phase archived case' ), 'phase procedure prematurely terminated', 'read publication date field', +( 'phase procedure aborted', 'close case' ) ) ) ) ) ) ) ) ), 'MER required', 'activities regular procedure', 'phased application' ) ), 'publish' ) ), X( 'read field phased application', ->( 'create subcases completeness', 'treat subcases completeness' ) ) ) ), 'subcases completeness completed' ) ), 'create publication document' ) ), 'request complete' ) ) ) ), 'phase application receptive' )")
('BPIC15_5/process_tree_case_size_betwee_18_and_19_noise_10.svg', "->( +( X( tau, 'enter senddate acknowledgement' ), 'phase application received', 'register submission date request', ->( X( 'reception through OLO', 'OLO messaging active' ), +( X( tau, 'registration date publication' ), ->( +( X( tau, 'procedure change' ), ->( +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( X( tau, 'no permit needed or only notification needed' ), ->( X( tau, 'applicant is stakeholder' ), +( X( tau, 'create procedure confirmation' ), ->( +( X( tau, 'forward to the competent authority' ), ->( X( tau, 'inform BAG administrator' ), +( X( tau, 'terminate on request' ), ->( X( tau, 'calculate provisional charges' ), X( tau, 'initiative competent authority' ), +( X( tau, 'enter date termination request received' ), ->( X( tau, 'regular procedure without MER' ), X( tau, ->( X( tau, 'create message terminate request' ), +( X( tau, 'message terminate request' ), ->( X( tau, 'phase procedure prematurely terminated' ), X( tau, +( 'phase procedure aborted', 'close case', ->( X( tau, 'stop all running subcases 2b' ), +( 'register deadline', ->( X( tau, ->( +( 'enter senddate procedure confirmation', ->( X( tau, 'enter senddate confirmation request' ), 'send procedure confirmation' ) ), X( tau, ->( 'retrieve missing data', 'enter senddate retrieve missing data' ) ) ) ), X( tau, 'enter senddate request termination' ), X( tau, ->( +( 'phase case handled', 'phase archived case' ), X( tau, 'read publication date field' ) ) ) ) ), X( tau, ->( 'create decision terminate on request', 'registrer date of publishing received request', 'register date decision terminate on request', 'decision terminate on request' ) ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'MER required', 'activities regular procedure', 'phased application' ) ) ) ), X( tau, 'publish' ) ) ), X( tau, 'read field phased application', ->( 'create subcases completeness', X( tau, 'treat subcases completeness' ) ) ) ) ), X( tau, 'subcases completeness completed' ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'request complete' ) ) ) ) ), X( tau, 'phase application receptive' ) )")
