BPIC1,BPIC2,BPIC3,BPIC4,BPIC5
send confirmation receipt,Dispatch confirmation receipt,Issue confirmation receipt,Provide confirmation receipt,Transmit confirmation receipt
procedure change,Modify procedure,Update procedure,Amend procedure,Revise procedure
enter senddate decision environmental permit,Record senddate decision environmental permit,Log senddate decision environmental permit,Input senddate decision environmental permit,Register senddate decision environmental permit
request complete,Complete request,Fulfill request,Finalize request,Accomplish request
register submission date request,Log submission date request,Record submission date request,Input submission date request,Enter submission date request
phase application received,Stage application received,Period application received,Phase of application received,Step application received
forward to the competent authority,Send to the competent authority,Direct to the competent authority,Transfer to the competent authority,Refer to the competent authority
regular procedure without MER,Standard procedure without MER,Normal procedure without MER,Routine procedure without MER,Ordinary procedure without MER
article 34 WABO applies,Article 34 WABO in effect,Article 34 WABO enforced,Article 34 WABO implemented,Article 34 WABO applicable
phase advice known,Stage advice known,Period advice known,Phase of advice known,Step advice known
grounds for refusal,Reasons for refusal,Basis for refusal,Justification for refusal,Explanation for refusal
phase application receptive,Stage application receptive,Period application receptive,Phase of application receptive,Step application receptive
creating environmental permit decision,Forming environmental permit decision,Creating environmental permit ruling,Developing environmental permit decision,Building environmental permit decision
generating decision environmental permit,Producing decision environmental permit,Generating ruling environmental permit,Formulating decision environmental permit,Constructing decision environmental permit
suspension ground applicable,Suspension reason applicable,Suspension basis applicable,Suspension cause applicable,Suspension rationale applicable
transcript decision environmental permit to stakeholders,Document decision environmental permit to stakeholders,Record decision environmental permit to stakeholders,Transmit decision environmental permit to stakeholders,Send decision environmental permit to stakeholders
enter senddate acknowledgement,Record senddate acknowledgement,Log senddate acknowledgement,Input senddate acknowledgement,Register senddate acknowledgement
treat subcases content,Handle subcases content,Process subcases content,Address subcases content,Resolve subcases content
completed subcases content,Finished subcases content,Completed subcases information,Concluded subcases content,Finalized subcases content
send letter in progress,Dispatch letter in progress,Send letter in progress,Issue letter in progress,Transmit letter in progress
by law,According to law,In accordance with the law,As per law,Under the law
ask stakeholders views,Solicit stakeholders views,Seek stakeholders views,Request stakeholders views,Gather stakeholders views
subcases completeness completed,Subcases completeness achieved,Subcases completeness done,Subcases completeness attained,Subcases completeness fulfilled
assessment of content completed,Assessment of content finalized,Assessment of content done,Assessment of content complete,Assessment of content finished
enter senddate procedure confirmation,Record senddate procedure confirmation,Log senddate procedure confirmation,Input senddate procedure confirmation,Register senddate procedure confirmation
applicant is stakeholder,Applicant is a stakeholder,Applicant is involved,Applicant considered stakeholder,Applicant plays stakeholder role
OLO messaging active,OLO communication active,OLO messaging ongoing,OLO messaging live,OLO messages active
phase decision taken,Phase decision made,Decision phase taken,Phase decision made,Decision phase executed
treat subcases completeness,Handle subcases completeness,Process subcases completeness,Address subcases completeness,Resolve subcases completeness
send procedure confirmation,Dispatch procedure confirmation,Send procedure confirmation,Transmit procedure confirmation,Forward procedure confirmation
start WABOprocedure,Begin WABOprocedure,Start WABOprocedure,Initiate WABOprocedure,Commence WABOprocedure
decision date prior to decision,Decision date before decision,Decision date before final decision,Decision date ahead of decision,Decision date set before decision
register objection and appeal periods,Log objection and appeal periods,Register objection and appeal timelines,Log objection and appeal durations,Record objection and appeal periods
terminate on request,End on request,Terminate on request,Cease on request,Stop on request
set decision status,Set decision status,Establish decision status,Fix decision status,Define decision status
create procedure confirmation,Generate procedure confirmation,Create procedure confirmation,Draft procedure confirmation,Produce procedure confirmation
WAW permit aspect,WAW permit aspect considered,WAW permit element,WAW permit aspect included,WAW permit factor
phase decision sent,Phase decision issued,Phase decision dispatched,Phase decision released,Phase decision sent out
create subcases completeness,Create subcases completeness,Create subcases completeness,Form subcases completeness,Generate subcases completeness
submit decision,Submit decision form,Submit decision document,Submit decision sheet,Submit decision file
record date of decision environmental permit,Log date of decision environmental permit,Document date of decision environmental permit,Record date of environmental permit decision,Log date of environmental permit ruling
enter senddate decision,Record senddate decision,Log senddate decision,Enter senddate decision,Input senddate decision
registration date publication,Log date publication,Register date publication,Document date publication,Register publication date
create publication document,Create publication file,Create publication report,Generate publication document,Form publication document
register date environmental permit decision,Log date environmental permit decision,Register date environmental permit decision,Enter date environmental permit decision,Log date of environmental permit decision
set decision phase decision permitting decided,Set decision phase permitting decided,Set decision phase permitting resolved,Set decision phase permitting settled,Set phase decision permitting determined
creating cover letter decision,Draft cover letter decision,Compose cover letter decision,Prepare cover letter decision,Write cover letter decision
objection lodged against decision,Objection filed against decision,Objection registered against decision,Objection submitted against decision,Objection lodged for decision
phase decision ready,Phase decision finalized,Phase decision complete,Phase decision ready,Phase decision accomplished
enter date publication decision environmental permit,Record date publication decision environmental permit,Log date publication decision environmental permit,Register date publication decision environmental permit,Enter date publication decision environmental permit
coordination of application,Coordinate application,Application coordination,Application management,Application coordination efforts
start decision phase decision permitting sent,Initiate decision phase permitting sent,Start decision phase permitting sent,Launch decision phase permitting sent,Commence decision phase permitting sent
set phase: phase permitting irrevocable,Set phase: phase permitting final,Set phase: phase permitting fixed,Set phase: phase permitting irreversible,Set phase: phase permitting constant
registrer date of publishing received request,Log date of publishing received request,Register date of publishing received request,Log date publishing received request,Enter date of publishing received request
extend procedure term,Extend procedure duration,Extend procedure period,Prolong procedure term,Extend procedure timeframe
generate publication document decision environmental permit,Generate publication file decision environmental permit,Generate publication report decision environmental permit,Create publication document decision environmental permit,Compose publication document decision environmental permit
close case,Close the case,Close the file,Conclude case,Conclude the case
register deadline,Log deadline,Document deadline,Register due date,Register the deadline
activities regular procedure,Regular procedure activities,Activities for regular procedure,Routine procedure activities,Regular procedural activities
procedure change after completeness,Change procedure after completeness,Modify procedure after completeness,Procedure adjustment after completeness,Procedure modification after completeness
read publication date field,Check publication date field,View publication date field,Examine publication date field,Inspect publication date field
suspend term,Suspend duration,Pause term,Delay term,Interrupt term
inform BAG administrator,Notify BAG administrator,Inform BAG administrator,Alert BAG administrator,Update BAG administrator
publish,Release,Announce,Distribute,Broadcast
term for supplying missing data,Time for supplying missing data,Period for supplying missing data,Timeframe for supplying missing data,Span for supplying missing data
retrieve missing data,Recover missing data,Fetch missing data,Locate missing data,Retrieve missing data
enter senddate retrieve missing data,Log senddate retrieve missing data,Record senddate retrieve missing data,Enter senddate retrieve missing data,Log date retrieve missing data
receive additional information,Obtain additional information,Gain additional information,Collect additional information,Access additional information
no permit needed or only notification needed,No permit required or only notification needed,No permit necessary or only notification needed,No permit needed or just notification needed,Permit not needed or only notification required
phase decision irrevocable,Phase decision irreversible,Phase decision unalterable,Phase decision unchangeable,Phase decision final
reception through OLO,Reception via OLO,Reception through OLO system,Received via OLO,Reception through OLO portal
calculate provisional charges,Compute provisional charges,Calculate provisional charges,Assess provisional charges,Evaluate provisional charges
enter receipt of additional data,Log receipt of additional data,Register receipt of additional data,Input receipt of additional data,Log receipt additional data
phase archived case,Phase archived case,Phase case archived,Archived phase case,Case phase archived
phase case handled,Phase case managed,Phase case processed,Phase case executed,Phase case dealt with
calculate final charges,Compute final charges,Calculate final charges,Assess final charges,Evaluate final charges
phase asked additional information,Phase requested additional information,Phase requested more information,Phase asked for more information,Phase asked for further information
stop all running subcases 2b,Stop all running subcases 2b,Halt all running subcases 2b,Cease all running subcases 2b,Terminate all running subcases 2b
phase draft decision made,Phase draft decision completed,Phase draft decision issued,Phase draft decision finalized,Phase draft decision prepared
MER present in supplement,MER included in supplement,MER shown in supplement,MER listed in supplement,MER noted in supplement
create subcases content,Create subcases content,Develop subcases content,Compose subcases content,Design subcases content
phase additional information received,Phase received additional information,Phase obtained additional information,Phase extra information received,Phase extra data received
send confirmation receipt additional data,Send confirmation receipt additional data,Send confirmation of receipt additional data,Send confirmation receipt of additional data,Send confirmation for receipt additional data
phased application,Phased application,Phased application,Phased application,Phased application
MER present,MER included,MER shown,MER listed,MER noted
