visualization_filename, serialization
('BPIC15_5_rev/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'Enter submission date request', X( tau, 'OLO messages active' ), +( 'Step application received', X( tau, *( 'Transmit confirmation receipt', ->( 'Applicant plays stakeholder role', 'Stop on request' ) ) ) ), X( tau, ->( 'Reception through OLO portal', 'Refer to the competent authority', 'Ordinary procedure without MER', 'No permit required for the application', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'Enter submission date request', 'OLO messages active', +( 'Step application received', *( 'Transmit confirmation receipt', ->( 'Applicant plays stakeholder role', 'Stop on request' ) ) ), 'Reception through OLO portal', 'Refer to the competent authority', 'Ordinary procedure without MER', 'No permit required for the application', 'Register the deadline', 'Conclude the case' )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( 'Enter submission date request', +( 'Step application received', ->( X( tau, 'Reception through OLO portal' ), +( X( tau, *( 'Transmit confirmation receipt', tau ) ), ->( +( X( tau, 'OLO messages active' ), ->( X( tau, ->( 'Applicant plays stakeholder role', +( 'Stop on request', X( tau, 'Evaluate provisional charges' ) ) ) ), X( tau, ->( 'Refer to the competent authority', X( tau, ->( 'Ordinary procedure without MER', X( tau, ->( 'Produce procedure confirmation', 'Broadcast' ) ) ) ) ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ) ) ), X( tau, 'Terminate request notice', ->( 'Commence WABOprocedure', X( tau, 'Register senddate acknowledgement' ) ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', X( tau, 'Phase procedure cancelled' ), 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'Enter submission date request', +( 'Step application received', ->( X( tau, 'Reception through OLO portal' ), +( *( 'Transmit confirmation receipt', tau ), ->( +( X( tau, 'OLO messages active' ), ->( X( tau, ->( 'Applicant plays stakeholder role', +( 'Stop on request', X( tau, 'Evaluate provisional charges' ) ) ) ), X( tau, ->( 'Refer to the competent authority', X( tau, ->( 'Ordinary procedure without MER', X( tau, ->( 'Produce procedure confirmation', 'Broadcast' ) ) ) ) ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ) ) ), X( tau, 'Terminate request notice', ->( 'Commence WABOprocedure', X( tau, 'Register senddate acknowledgement' ) ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', X( tau, 'Phase procedure cancelled' ), 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'Enter submission date request', +( 'Step application received', ->( X( tau, 'Reception through OLO portal' ), +( *( 'Transmit confirmation receipt', tau ), ->( +( 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', +( 'Stop on request', X( tau, 'Evaluate provisional charges' ) ) ) ), 'Refer to the competent authority', X( tau, ->( 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast' ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ) ) ), X( 'Terminate request notice', ->( 'Commence WABOprocedure', X( tau, 'Register senddate acknowledgement' ) ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', X( tau, 'Phase procedure cancelled' ), 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( +( 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', +( 'Stop on request', X( tau, 'Evaluate provisional charges' ) ) ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast' ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ), X( 'Terminate request notice', ->( 'Commence WABOprocedure', 'Register senddate acknowledgement' ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', X( tau, 'Phase procedure cancelled' ), 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_50.svg', "->( 'Enter submission date request', +( 'Step application received', ->( 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast' ) ) ) ), X( 'Terminate request notice', ->( 'Commence WABOprocedure', 'Register senddate acknowledgement' ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_70.svg', "->( 'Enter submission date request', X( tau, 'Reception through OLO portal' ), 'OLO messages active', 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast', X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received' ), X( 'Terminate request notice', ->( 'Commence WABOprocedure', 'Register senddate acknowledgement' ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_8_and_11_noise_90.svg', "->( 'Enter submission date request', 'Reception through OLO portal', 'OLO messages active', 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast', 'Log date termination request documented', 'Premature termination of procedure phase', +( *( 'Transmit confirmation receipt', tau ), 'Step application received' ), X( 'Terminate request notice', ->( 'Commence WABOprocedure', 'Register senddate acknowledgement' ), ->( X( 'No permit required for the application', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required' ) ), 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_10.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( +( 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), X( tau, 'Evaluate provisional charges' ) ) ) ), X( tau, ->( 'Refer to the competent authority', X( tau, 'Update BAG administrator' ), +( 'Produce procedure confirmation', 'Commence WABOprocedure', 'Ordinary procedure without MER', X( tau, ->( X( tau, 'Broadcast' ), X( tau, 'Register senddate acknowledgement' ) ) ) ) ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_20.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( +( 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), X( tau, 'Evaluate provisional charges' ) ) ) ), 'Refer to the competent authority', +( 'Produce procedure confirmation', 'Commence WABOprocedure', 'Ordinary procedure without MER', X( tau, ->( X( tau, 'Broadcast' ), 'Register senddate acknowledgement' ) ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_30.svg', "->( 'Enter submission date request', +( 'Step application received', *( X( 'Register senddate acknowledgement', ->( *( X( 'OLO messages active', ->( 'Transmit confirmation receipt', X( tau, ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), X( tau, 'Evaluate provisional charges' ) ) ) ), X( tau, 'Refer to the competent authority' ), X( tau, ->( 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, 'Broadcast' ) ) ) ) ), tau ), X( tau, 'Commence WABOprocedure' ) ) ), tau ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_40.svg', "->( 'Enter submission date request', +( 'Step application received', *( ->( *( X( 'OLO messages active', ->( 'Transmit confirmation receipt', X( tau, ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ) ), X( tau, 'Refer to the competent authority' ), X( tau, ->( 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, 'Broadcast' ) ) ) ) ), tau ), X( tau, 'Commence WABOprocedure' ) ), tau ) ), X( tau, 'Register senddate acknowledgement' ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_50.svg', "->( 'Enter submission date request', 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, 'Broadcast' ), 'Commence WABOprocedure' ) ), X( tau, 'Register senddate acknowledgement' ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_60.svg', "->( 'Enter submission date request', 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast', 'Commence WABOprocedure' ) ), X( tau, 'Register senddate acknowledgement' ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_70.svg', "->( 'Enter submission date request', X( tau, ->( 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast', 'Commence WABOprocedure' ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_80.svg', "->( 'Enter submission date request', X( tau, ->( 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast' ) ), 'Commence WABOprocedure' ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_10_and_12_noise_90.svg', "->( 'Enter submission date request', X( tau, ->( 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', 'Broadcast' ) ), 'Commence WABOprocedure' ) ), X( 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_11_and_12_noise_10.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( +( 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), X( tau, 'Evaluate provisional charges' ) ) ) ), X( tau, ->( 'Refer to the competent authority', X( tau, 'Update BAG administrator' ), +( 'Produce procedure confirmation', 'Commence WABOprocedure', 'Ordinary procedure without MER', X( tau, ->( X( tau, 'Broadcast' ), 'Register senddate acknowledgement' ) ) ) ) ) ) ), X( tau, ->( 'Log date termination request documented', 'Premature termination of procedure phase' ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_11_and_12_noise_30.svg', "->( 'Enter submission date request', 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), X( tau, 'Evaluate provisional charges' ) ), 'Refer to the competent authority', +( 'Produce procedure confirmation', 'Commence WABOprocedure', 'Ordinary procedure without MER', X( tau, ->( X( tau, 'Broadcast' ), 'Register senddate acknowledgement' ) ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_11_and_12_noise_60.svg', "->( 'Enter submission date request', 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( X( tau, 'Stop on request' ), 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ) ) ), X( tau, 'Register senddate acknowledgement' ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_11_and_12_noise_70.svg', "->( 'Enter submission date request', X( tau, ->( 'OLO messages active', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ) ) ) ) ), X( tau, 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_11_and_12_noise_90.svg', "->( 'Enter submission date request', X( tau, ->( 'OLO messages active', 'Step application received', +( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', +( 'Stop on request', 'Evaluate provisional charges' ), 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ) ) ) ) ), X( 'Terminate request notice', ->( 'Permit not needed or only notification required', 'document senddate letter no permit or notification required', 'draft letter stating no permit required', 'Register the deadline', 'Phase procedure cancelled', 'Conclude the case' ) ) )")
